iter	Logloss
0	0.6783564776
1	0.6653773322
2	0.6518477198
3	0.6396444196
4	0.6282954524
5	0.6169476644
6	0.6062527494
7	0.5963397365
8	0.5874155624
9	0.5783280008
10	0.5706261193
11	0.5625604586
12	0.5554353992
13	0.5486715364
14	0.5416935604
15	0.5353964834
16	0.5294755931
17	0.5237285388
18	0.5184087396
19	0.5131232498
20	0.5081422253
21	0.5031173322
22	0.4987084186
23	0.494480831
24	0.4904889651
25	0.4867832318
26	0.4834252521
27	0.480235256
28	0.4770726758
29	0.4737538824
30	0.4711217581
31	0.4681257338
32	0.4653761525
33	0.4627895982
34	0.4603880901
35	0.4581173507
36	0.4561238122
37	0.4543133617
38	0.4523082107
39	0.4505071115
40	0.4490055095
41	0.4471527412
42	0.4452382725
43	0.4435596201
44	0.4422573614
45	0.4408639146
46	0.4394490946
47	0.4381064518
48	0.4369357761
49	0.4357287231
50	0.4343485073
51	0.4330627057
52	0.4318595304
53	0.4309122565
54	0.4299376799
55	0.4288970594
56	0.4277833573
57	0.4269437225
58	0.4261413328
59	0.4252454211
60	0.424314267
61	0.423501131
62	0.4227080228
63	0.4219072962
64	0.4210398634
65	0.4204097617
66	0.4196934889
67	0.4190137981
68	0.4182303409
69	0.4175690143
70	0.4169205304
71	0.4164332744
72	0.4157505247
73	0.4152644575
74	0.4145095354
75	0.4139375078
76	0.4133582492
77	0.412776434
78	0.4122982198
79	0.4117051864
80	0.4111504583
81	0.4106864061
82	0.4101737504
83	0.4096056074
84	0.4091672096
85	0.4087671743
86	0.4082564001
87	0.4078526932
88	0.407318481
89	0.4068388558
90	0.4064233557
91	0.4059166296
92	0.4054025889
93	0.4049974019
94	0.4045359617
95	0.4041004332
96	0.403774147
97	0.4034216086
98	0.4030584135
99	0.4027995626
100	0.4024482019
101	0.402078819
102	0.4017860939
103	0.4013197081
104	0.401068938
105	0.4007838321
106	0.4004894863
107	0.4001482373
108	0.3997493159
109	0.3993689125
110	0.3990499912
111	0.3987655376
112	0.3984188809
113	0.3980954902
114	0.3978450226
115	0.397654224
116	0.3973432122
117	0.3970629097
