iter	Passed	Remaining
0	247	247024
1	280	140170
2	329	109402
3	385	95907
4	435	86726
5	485	80449
6	515	73069
7	555	68938
8	609	67107
9	635	62909
10	679	61077
11	716	59004
12	760	57736
13	786	55396
14	833	54763
15	874	53758
16	927	53652
17	955	52124
18	989	51070
19	1033	50641
20	1055	49212
21	1091	48536
22	1132	48085
23	1171	47641
24	1217	47492
25	1265	47395
26	1294	46654
27	1336	46393
28	1383	46338
29	1421	45949
30	1463	45741
31	1485	44949
32	1508	44193
33	1544	43895
34	1590	43850
35	1610	43120
36	1629	42414
37	1653	41850
38	1680	41408
39	1710	41043
40	1733	40536
41	1771	40398
42	1822	40569
43	1864	40516
44	1906	40458
45	1967	40800
46	1993	40415
47	2030	40273
48	2068	40140
49	2105	40008
50	2173	40450
51	2221	40496
52	2285	40844
53	2337	40955
54	2384	40976
55	2416	40727
56	2453	40584
57	2504	40672
58	2549	40662
59	2589	40570
60	2612	40218
61	2637	39904
62	2661	39590
63	2694	39409
64	2726	39226
65	2773	39252
66	2811	39148
67	2864	39263
68	2901	39145
69	2936	39012
70	2986	39078
71	3030	39063
72	3071	39007
73	3119	39030
74	3177	39194
75	3224	39203
76	3285	39389
77	3334	39410
78	3374	39338
79	3434	39499
80	3494	39649
81	3533	39555
82	3566	39399
83	3609	39361
84	3626	39041
85	3643	38717
86	3691	38736
87	3741	38778
88	3842	39327
89	3892	39358
90	3939	39347
91	3979	39272
92	4043	39437
93	4088	39406
94	4129	39338
95	4177	39335
96	4236	39439
97	4281	39410
98	4324	39361
99	4368	39317
100	4412	39277
101	4449	39171
102	4474	38964
103	4505	38819
104	4554	38819
105	4597	38771
106	4659	38886
107	4714	38937
108	4759	38905
109	4805	38880
110	4899	39242
111	4923	39033
112	4954	38893
113	5002	38878
114	5056	38910
115	5081	38725
116	5118	38632
117	5162	38590
118	5206	38548
119	5253	38524
120	5289	38424
121	5353	38530
122	5381	38371
123	5416	38264
124	5463	38247
125	5525	38324
126	5558	38210
127	5585	38051
128	5619	37944
129	5654	37841
130	5685	37712
131	5733	37704
132	5760	37551
133	5845	37775
134	5891	37750
135	5929	37667
136	5953	37501
137	5986	37391
138	6031	37363
139	6071	37294
140	6113	37246
141	6157	37206
142	6183	37060
143	6230	37039
144	6267	36953
145	6312	36922
146	6354	36870
147	6398	36835
148	6440	36781
149	6498	36826
150	6521	36664
151	6561	36608
152	6600	36541
153	6650	36532
154	6677	36400
155	6710	36307
156	6762	36310
157	6781	36141
158	6827	36114
159	6881	36125
160	6895	35934
161	6932	35861
162	6977	35829
163	7026	35818
164	7051	35685
165	7087	35609
166	7129	35564
167	7168	35500
168	7231	35558
169	7247	35384
170	7287	35330
171	7327	35272
172	7370	35235
173	7409	35174
174	7452	35133
175	7506	35143
176	7562	35161
177	7587	35037
178	7615	34930
179	7646	34835
180	7668	34699
181	7703	34624
182	7745	34581
183	7794	34565
184	7816	34435
185	7857	34385
186	7896	34331
187	7937	34281
188	7996	34312
189	8017	34181
190	8083	34238
191	8119	34170
192	8155	34101
193	8196	34054
194	8240	34018
195	8266	33909
196	8306	33859
197	8350	33823
198	8380	33734
199	8443	33772
200	8472	33678
201	8506	33605
202	8532	33500
203	8559	33398
204	8605	33371
205	8646	33327
206	8676	33240
207	8701	33133
208	8727	33031
209	8770	32993
210	8811	32948
211	8859	32929
212	8885	32831
213	8918	32758
214	8970	32751
215	9017	32729
216	9049	32654
217	9088	32601
218	9124	32539
219	9170	32511
220	9209	32462
221	9243	32394
222	9260	32266
223	9298	32213
224	9346	32193
225	9397	32183
226	9432	32121
227	9478	32093
228	9503	31997
229	9545	31956
230	9629	32055
231	9673	32022
232	9723	32006
233	9767	31974
234	9801	31905
235	9829	31820
236	9876	31795
237	9928	31786
238	9944	31665
239	9990	31635
240	10032	31597
241	10059	31510
242	10107	31487
243	10151	31451
244	10230	31525
245	10314	31615
246	10401	31709
247	10432	31634
248	10471	31581
249	10522	31568
250	10550	31482
251	10600	31464
252	10660	31475
253	10732	31522
254	10795	31539
255	10860	31562
256	10938	31625
257	10964	31532
258	11014	31513
259	11070	31507
260	11105	31444
261	11152	31413
262	11198	31382
263	11292	31482
264	11356	31499
265	11416	31502
266	11458	31456
267	11513	31448
268	11602	31530
269	11664	31537
270	11721	31531
271	11792	31562
272	11853	31564
273	11921	31586
274	12005	31651
275	12066	31654
276	12102	31588
277	12132	31510
278	12171	31453
279	12225	31436
280	12255	31359
281	12283	31275
282	12350	31291
283	12406	31278
284	12452	31240
285	12499	31204
286	12569	31226
287	12650	31275
288	12726	31309
289	12767	31258
290	12803	31193
291	12862	31186
292	12905	31140
293	12952	31102
294	12997	31061
295	13105	31169
296	13190	31222
297	13248	31210
298	13318	31223
299	13411	31292
300	13461	31261
301	13484	31165
302	13537	31140
303	13718	31409
304	13765	31368
305	13825	31355
306	14018	31644
307	14086	31647
308	14148	31638
309	14234	31682
310	14339	31768
311	14506	31987
312	14560	31958
313	14638	31981
314	14706	31980
315	14804	32045
316	14870	32039
317	14900	31956
318	14993	32008
319	15059	32001
320	15128	32000
321	15165	31932
322	15209	31878
323	15265	31851
324	15333	31847
325	15408	31855
326	15453	31805
327	15574	31908
328	15669	31958
329	15820	32120
330	15880	32096
331	15989	32172
332	16085	32219
333	16180	32264
334	16308	32372
335	16400	32410
336	16483	32429
337	16595	32503
338	16663	32491
339	16688	32396
340	16756	32383
341	16829	32380
342	16902	32376
343	17018	32454
344	17101	32468
345	17166	32448
346	17246	32456
347	17335	32478
348	17430	32514
349	17509	32518
350	17552	32454
351	17612	32422
352	17659	32366
353	17708	32316
354	17768	32283
355	17791	32184
356	17828	32111
357	17877	32060
358	17944	32040
359	17977	31960
360	18013	31886
361	18072	31851
362	18133	31821
363	18213	31822
364	18268	31782
365	18321	31736
366	18403	31742
367	18445	31678
368	18519	31668
369	18553	31591
370	18579	31500
371	18626	31444
372	18663	31372
373	18729	31348
374	18760	31266
375	18820	31233
376	18891	31219
377	18949	31182
378	19040	31198
379	19230	31375
380	19268	31304
381	19308	31237
382	19360	31188
383	19414	31143
384	19484	31124
385	19552	31100
386	19628	31091
387	19668	31023
388	19724	30980
389	19752	30895
390	19827	30882
391	19887	30846
392	19939	30796
393	19993	30751
394	20034	30685
395	20093	30647
396	20143	30595
397	20208	30566
398	20276	30541
399	20334	30502
400	20356	30408
401	20399	30345
402	20441	30281
403	20497	30239
404	20559	30204
405	20645	30205
406	20694	30152
407	20766	30131
408	20820	30084
409	20847	29999
410	20891	29938
411	20916	29851
412	20992	29837
413	21044	29788
414	21099	29742
415	21180	29734
416	21261	29725
417	21332	29702
418	21386	29655
419	21420	29581
420	21469	29526
421	21498	29446
422	21563	29413
423	21602	29347
424	21692	29348
425	21726	29274
426	21815	29274
427	21875	29235
428	21916	29170
429	21968	29120
430	22041	29098
431	22113	29074
432	22168	29028
433	22202	28955
434	22289	28951
435	22361	28926
436	22424	28889
437	22479	28843
438	22511	28768
439	22610	28776
440	22674	28742
441	22751	28722
442	22840	28718
443	22905	28683
444	22968	28646
445	23054	28637
446	23124	28607
447	23183	28564
448	23215	28488
449	23245	28410
450	23297	28360
451	23321	28274
452	23378	28230
453	23440	28190
454	23497	28145
455	23537	28080
456	23581	28019
457	23621	27953
458	23674	27903
459	23709	27832
460	23789	27814
461	23823	27742
462	23853	27665
463	23916	27627
464	23973	27582
465	24026	27532
466	24068	27469
467	24112	27409
468	24143	27335
469	24190	27278
470	24242	27228
471	24277	27157
472	24334	27112
473	24370	27044
474	24408	26978
475	24456	26922
476	24499	26861
477	24538	26797
478	24557	26710
479	24595	26645
480	24644	26591
481	24691	26535
482	24744	26486
483	24774	26412
484	24815	26349
485	24860	26292
486	24918	26248
487	24951	26178
488	24989	26113
489	25020	26041
490	25056	25974
491	25087	25902
492	25111	25824
493	25154	25765
494	25183	25692
495	25209	25615
496	25240	25545
497	25284	25487
498	25320	25421
499	25361	25361
500	25404	25303
501	25447	25244
502	25482	25178
503	25535	25129
504	25585	25078
505	25666	25057
506	25722	25012
507	25751	24940
508	25771	24860
509	25826	24813
510	25855	24742
511	25890	24677
512	25916	24602
513	25945	24532
514	25990	24476
515	26049	24434
516	26091	24375
517	26185	24365
518	26273	24349
519	26316	24292
520	26349	24225
521	26381	24158
522	26422	24098
523	26439	24017
524	26507	23982
525	26557	23932
526	26618	23890
527	26682	23852
528	26735	23804
529	26823	23786
530	26901	23760
531	26974	23729
532	27025	23679
533	27047	23603
534	27069	23527
535	27133	23488
536	27191	23444
537	27253	23403
538	27275	23328
539	27329	23280
540	27382	23231
541	27453	23198
542	27496	23141
543	27550	23093
544	27584	23029
545	27618	22964
546	27639	22889
547	27682	22833
548	27740	22788
549	27786	22734
550	27837	22684
551	27873	22621
552	27908	22559
553	27951	22502
554	27997	22448
555	28028	22382
556	28060	22317
557	28082	22244
558	28111	22177
559	28144	22113
560	28185	22055
561	28215	21989
562	28248	21926
563	28284	21865
564	28336	21816
565	28378	21760
566	28430	21711
567	28452	21639
568	28498	21586
569	28554	21541
570	28579	21472
571	28609	21407
572	28633	21337
573	28675	21281
574	28701	21214
575	28742	21157
576	28776	21095
577	28815	21037
578	28835	20966
579	28872	20907
580	28928	20862
581	28990	20821
582	29009	20749
583	29041	20687
584	29081	20630
585	29120	20573
586	29183	20532
587	29228	20479
588	29246	20407
589	29286	20351
590	29333	20300
591	29375	20245
592	29410	20185
593	29447	20127
594	29488	20071
595	29527	20015
596	29565	19958
597	29612	19906
598	29654	19851
599	29707	19804
600	29728	19736
601	29765	19678
602	29811	19627
603	29852	19572
604	29902	19522
605	29931	19460
606	29976	19408
607	30037	19366
608	30089	19318
609	30136	19267
610	30175	19211
611	30217	19157
612	30257	19101
613	30306	19052
614	30393	19027
615	30459	18987
616	30526	18949
617	30556	18887
618	30607	18839
619	30633	18775
620	30680	18724
621	30727	18673
622	30775	18623
623	30820	18571
624	30918	18551
625	30961	18497
626	31006	18445
627	31076	18408
628	31117	18353
629	31167	18304
630	31219	18256
631	31277	18212
632	31341	18171
633	31390	18121
634	31442	18073
635	31469	18010
636	31513	17958
637	31559	17906
638	31607	17856
639	31657	17807
640	31689	17747
641	31727	17692
642	31773	17640
643	31820	17590
644	31878	17545
645	31909	17485
646	31988	17452
647	32046	17407
648	32109	17365
649	32158	17316
650	32210	17268
651	32262	17220
652	32317	17173
653	32338	17109
654	32389	17060
655	32432	17007
656	32497	16965
657	32548	16917
658	32582	16859
659	32626	16807
660	32664	16752
661	32694	16693
662	32749	16646
663	32776	16585
664	32852	16549
665	32873	16485
666	32937	16444
667	32984	16393
668	33076	16365
669	33091	16298
670	33130	16244
671	33173	16191
672	33248	16154
673	33343	16127
674	33449	16105
675	33526	16068
676	33608	16034
677	33678	15994
678	33749	15955
679	33817	15914
680	33858	15860
681	33902	15807
682	33930	15748
683	33968	15692
684	34014	15641
685	34044	15582
686	34084	15529
687	34124	15475
688	34166	15421
689	34201	15365
690	34235	15309
691	34279	15257
692	34309	15199
693	34341	15142
694	34369	15083
695	34410	15029
696	34458	14979
697	34493	14924
698	34555	14880
699	34594	14826
700	34637	14773
701	34668	14716
702	34688	14654
703	34745	14608
704	34785	14555
705	34827	14503
706	34892	14460
707	34934	14408
708	34977	14356
709	35015	14302
710	35051	14247
711	35084	14191
712	35128	14139
713	35229	14111
714	35268	14057
715	35307	14004
716	35346	13951
717	35409	13907
718	35427	13845
719	35467	13792
720	35499	13736
721	35520	13677
722	35546	13618
723	35597	13570
724	35652	13523
725	35678	13465
726	35718	13412
727	35753	13358
728	35807	13311
729	35834	13253
730	35865	13198
731	35886	13138
732	35911	13080
733	35952	13029
734	35986	12974
735	36008	12916
736	36045	12862
737	36101	12816
738	36122	12757
739	36160	12705
740	36204	12654
741	36271	12612
742	36319	12562
743	36361	12511
744	36394	12457
745	36435	12405
746	36466	12350
747	36508	12299
748	36530	12241
749	36550	12183
750	36593	12132
751	36635	12081
752	36667	12027
753	36691	11970
754	36730	11919
755	36766	11866
756	36802	11813
757	36851	11765
758	36882	11710
759	36918	11658
760	36956	11606
761	36982	11550
762	37017	11498
763	37044	11442
764	37086	11392
765	37126	11341
766	37193	11298
767	37234	11248
768	37277	11197
769	37312	11145
770	37353	11094
771	37399	11045
772	37430	10991
773	37480	10943
774	37521	10893
775	37546	10838
776	37587	10787
777	37628	10737
778	37658	10683
779	37709	10636
780	37739	10582
781	37772	10529
782	37816	10480
783	37860	10430
784	37920	10385
785	38007	10348
786	38050	10298
787	38091	10248
788	38160	10205
789	38215	10158
790	38295	10118
791	38369	10076
792	38413	10027
793	38456	9977
794	38522	9933
795	38564	9883
796	38606	9833
797	38650	9783
798	38711	9738
799	38737	9684
800	38774	9633
801	38819	9583
802	38887	9540
803	38930	9490
804	38966	9439
805	39010	9389
806	39056	9340
807	39101	9291
808	39167	9247
809	39189	9192
810	39224	9141
811	39250	9087
812	39308	9041
813	39358	8993
